UGC,Gini,e_Gini,M20,e_M20,C,e_C,A,e_A,S,e_S,Ell,e_Ell,GM,e_GM,Axy,e_Axy,Simbad,NED,_RA,_DE
08286,0.743,0.005,-1.481,0.037,9.125,0.152,0.877,0.259,0.148,0.002,0.627,0.003,0.615,0.004,1.385,0.015,Simbad,NED,198.04916,44.03802
08303,,,,,,,,,,,,,,,,,Simbad,NED,198.32454,36.21422
08314,,,,,,,,,,,,,,,,,Simbad,NED,198.50429,36.31833
08331,0.554,0.006,-1.172,0.026,8.378,0.48,1.299,0.131,0.364,0.005,0.494,0.005,0.576,0.009,1.39,0.016,Simbad,NED,198.8745,47.49961
08396,0.627,0.004,-0.74,0.01,13.872,0.386,1.713,0.045,0.218,0.001,0.798,0.001,0.762,0.001,1.395,0.01,Simbad,NED,200.35529,38.53638
08403,0.627,0.003,-0.596,0.025,16.386,0.231,2.0,0.0,0.218,0.003,0.798,0.001,0.812,0.002,1.414,0.0,Simbad,NED,200.48543,38.73451
08490,0.53,0.002,-1.628,0.019,8.104,0.068,0.911,0.028,0.312,0.003,0.232,0.003,0.467,0.002,1.414,0.01,Simbad,NED,202.40212,58.41873
08508,0.657,0.007,-1.833,0.104,9.671,0.527,0.984,0.242,0.221,0.003,0.329,0.007,0.469,0.007,1.414,0.025,Simbad,NED,202.68467,54.911
08550,0.663,0.007,-1.63,0.131,8.75,0.517,0.979,0.417,0.212,0.005,0.461,0.004,0.549,0.005,1.353,0.025,Simbad,NED,203.5118,47.91547
08651,0.526,0.006,-1.308,0.032,6.594,0.16,0.782,0.229,0.171,0.005,0.361,0.003,0.436,0.011,1.414,0.02,Simbad,NED,204.97396,40.74036
08683,0.559,0.008,-1.245,0.11,6.245,0.164,0.883,0.161,0.249,0.006,0.145,0.007,0.443,0.015,1.414,0.026,Simbad,NED,205.6355,39.6585
08699,0.693,0.005,-0.578,0.027,18.647,0.211,2.0,0.0,0.199,0.004,0.845,0.002,0.831,0.004,1.414,0.006,Simbad,NED,206.28612,41.5033
08700,0.693,0.006,-0.926,0.057,19.171,0.489,2.0,0.0,0.199,0.009,0.845,0.001,0.842,0.003,1.414,0.0,Simbad,NED,206.32971,41.71234
08709,0.581,0.004,-1.303,0.035,7.937,0.351,0.999,0.247,0.218,0.005,0.486,0.009,0.509,0.006,1.414,0.015,Simbad,NED,206.59872,43.87204
